"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,105,105,94,"standard"
0,0,0,381,377,378,"standard"
0,0,0,83,76,81,"standard"
0,0,0,3,2,3,"standard"
0,0,0,8,5,11,"standard"
0,0,0,22,174,309,"standard"
0,0,0,73,5,85,"standard"
0,0,0,10,12,13,"standard"
0,0,0,432,453,218,"standard"
0,0,0,924,923,924,"standard"
364,0,195,1000,289,1000,"standard"
0,0,0,7,4,10,"standard"
0,0,0,25,28,25,"standard"
0,0,0,18,21,22,"standard"
0,0,0,7,39,44,"standard"
0,0,0,3,10,3,"standard"
0,0,0,454,332,332,"standard"
0,0,0,10,11,9,"standard"
0,0,0,17,21,2,"standard"
0,0,0,4,4,7,"standard"
0,0,0,133,40,153,"standard"
0,0,0,3,6,4,"standard"
0,0,0,72,80,85,"standard"
0,0,0,18,10,13,"standard"
0,0,0,17,8,5,"standard"
0,0,0,42,42,3,"standard"
0,0,0,6,13,13,"standard"
0,0,0,9,820,849,"standard"
0,0,0,40,54,53,"standard"
200,64,0,1000,1000,8,"standard"
0,0,0,63,16,67,"standard"
0,0,0,302,301,51,"standard"
0,0,0,49,187,217,"standard"
0,0,0,69,26,68,"standard"
0,0,0,41,3,41,"standard"
0,0,0,33,2,7,"standard"
0,0,0,14,13,24,"standard"
0,0,0,2,2,275,"standard"
0,0,0,19,997,996,"standard"
0,0,0,144,140,9,"standard"
0,0,0,592,177,587,"standard"
0,0,0,19,103,75,"standard"
0,0,0,15,12,14,"standard"
0,0,0,4,5,6,"standard"
0,0,0,806,797,5,"standard"
0,0,0,248,232,265,"standard"
0,0,0,55,49,54,"standard"
0,0,0,12,508,514,"standard"
0,0,0,31,32,38,"standard"
0,0,0,714,25,689,"standard"
0,0,0,84,60,83,"standard"
0,0,0,5,13,9,"standard"
0,0,0,25,974,949,"standard"
0,0,0,30,33,31,"standard"
0,0,0,7,354,356,"standard"
0,0,0,17,4,26,"standard"
0,0,0,35,35,2,"standard"
0,0,0,133,912,906,"standard"
0,0,0,8,12,7,"standard"
0,0,0,119,5,145,"standard"
0,0,0,285,277,282,"standard"
0,0,0,150,150,13,"standard"
0,0,0,2,3,3,"standard"
0,0,0,18,32,359,"standard"
197,89,0,1000,1000,449,"standard"
0,0,0,10,17,13,"standard"
0,77,86,278,1000,1000,"standard"
0,0,0,4,263,259,"standard"
0,0,0,8,3,10,"standard"
0,0,0,6,25,5,"standard"
94,0,109,1000,27,1000,"standard"
0,0,0,11,902,68,"standard"
563,0,600,1000,609,1000,"standard"
0,0,0,18,8,21,"standard"
0,0,0,7,55,23,"standard"
0,0,0,55,55,55,"standard"
0,0,0,8,25,5,"standard"
0,0,0,7,5,8,"standard"
0,0,0,62,6,61,"standard"
0,0,0,51,89,93,"standard"
0,0,0,3,19,11,"standard"
0,0,0,235,212,230,"standard"
0,0,0,12,9,13,"standard"
0,0,0,4,25,21,"standard"
0,0,0,933,939,19,"standard"
0,574,482,76,1000,1000,"standard"
0,0,0,8,11,11,"standard"
0,0,0,17,321,9,"standard"
0,0,0,432,282,434,"standard"
0,0,0,42,130,118,"standard"
0,0,0,439,11,14,"standard"
0,0,0,19,239,56,"standard"
0,0,0,8,13,9,"standard"
0,0,0,3,8,3,"standard"
0,0,0,17,27,21,"standard"
0,0,0,17,2,12,"standard"
0,0,0,23,15,29,"standard"
0,0,0,5,20,10,"standard"
0,0,0,40,37,40,"standard"
0,0,0,3,2,9,"standard"
0,0,0,9,10,24,"standard"
0,0,0,16,18,21,"standard"
