"st1","st2","t_fin1","t_fin2","condition"
0,0,5,8,"standard"
0,0,909,910,"standard"
0,0,58,85,"standard"
0,0,21,21,"standard"
0,0,20,5,"standard"
0,0,40,62,"standard"
0,0,326,326,"standard"
0,0,9,13,"standard"
0,0,58,45,"standard"
0,0,3,2,"standard"
0,0,2,9,"standard"
0,0,4,3,"standard"
0,0,10,5,"standard"
0,0,78,58,"standard"
0,0,3,3,"standard"
64,157,1000,1000,"standard"
0,0,25,21,"standard"
0,0,307,319,"standard"
0,0,846,848,"standard"
0,0,2,5,"standard"
0,0,341,343,"standard"
0,0,5,21,"standard"
0,0,13,281,"standard"
0,0,119,117,"standard"
0,0,31,227,"standard"
0,0,9,20,"standard"
0,0,21,16,"standard"
0,0,16,27,"standard"
0,0,4,10,"standard"
0,0,22,20,"standard"
0,0,75,68,"standard"
0,0,13,6,"standard"
0,0,161,155,"standard"
0,0,73,71,"standard"
0,0,99,83,"standard"
0,0,144,97,"standard"
495,173,1000,1000,"standard"
0,0,7,2,"standard"
0,0,25,9,"standard"
0,0,19,18,"standard"
0,0,14,20,"standard"
0,0,14,225,"standard"
0,0,53,52,"standard"
0,0,2,5,"standard"
0,0,285,287,"standard"
101,160,1000,1000,"standard"
166,0,1000,863,"standard"
0,0,9,13,"standard"
0,0,7,6,"standard"
0,0,68,312,"standard"
0,0,61,5,"standard"
0,0,56,10,"standard"
0,0,547,557,"standard"
0,0,959,923,"standard"
0,0,2,50,"standard"
0,0,213,213,"standard"
0,0,16,21,"standard"
0,0,6,15,"standard"
0,0,598,575,"standard"
0,0,11,8,"standard"
0,0,24,19,"standard"
0,0,39,32,"standard"
0,0,85,79,"standard"
0,0,25,8,"standard"
0,0,19,19,"standard"
0,0,92,74,"standard"
0,0,517,3,"standard"
0,0,197,197,"standard"
0,0,14,768,"standard"
0,0,3,3,"standard"
0,0,8,10,"standard"
0,0,56,130,"standard"
0,0,11,31,"standard"
0,0,9,4,"standard"
0,0,13,13,"standard"
0,0,7,23,"standard"
0,0,499,501,"standard"
0,0,120,14,"standard"
0,0,17,16,"standard"
0,0,6,4,"standard"
0,0,5,6,"standard"
0,0,13,16,"standard"
0,0,46,41,"standard"
0,0,10,9,"standard"
0,0,475,465,"standard"
0,0,23,25,"standard"
0,0,25,23,"standard"
0,0,23,26,"standard"
0,0,22,19,"standard"
0,0,59,4,"standard"
0,0,971,970,"standard"
0,0,19,16,"standard"
0,0,93,93,"standard"
0,0,8,21,"standard"
0,0,253,2,"standard"
0,0,48,44,"standard"
0,0,241,239,"standard"
0,0,28,29,"standard"
0,0,2,812,"standard"
0,0,26,27,"standard"
0,0,40,58,"standard"
0,0,15,2,"standard"
0,0,543,517,"standard"
0,0,5,287,"standard"
0,0,32,33,"standard"
0,0,3,9,"standard"
0,0,24,17,"standard"
0,0,3,6,"standard"
0,0,41,43,"standard"
0,0,58,71,"standard"
0,0,23,15,"standard"
0,0,57,53,"standard"
0,0,47,47,"standard"
0,0,26,12,"standard"
0,0,85,22,"standard"
0,0,34,4,"standard"
0,0,18,5,"standard"
0,0,46,2,"standard"
0,0,4,2,"standard"
0,0,400,393,"standard"
0,0,10,6,"standard"
0,0,7,14,"standard"
0,0,32,27,"standard"
0,0,44,8,"standard"
0,0,14,12,"standard"
0,0,100,97,"standard"
0,0,102,5,"standard"
0,0,16,16,"standard"
0,0,752,747,"standard"
0,0,8,4,"standard"
0,0,14,10,"standard"
0,0,31,2,"standard"
0,0,58,14,"standard"
0,0,4,11,"standard"
0,0,18,3,"standard"
0,0,12,4,"standard"
0,0,23,26,"standard"
0,0,85,22,"standard"
0,0,34,46,"standard"
0,0,23,24,"standard"
0,0,85,84,"standard"
0,0,11,14,"standard"
0,0,8,2,"standard"
0,0,464,464,"standard"
0,0,3,2,"standard"
0,0,56,2,"standard"
0,0,22,27,"standard"
0,0,23,21,"standard"
0,0,78,66,"standard"
0,0,3,2,"standard"
0,0,8,7,"standard"
0,0,2,2,"standard"
0,0,2,143,"standard"
0,0,304,331,"standard"
0,0,160,165,"standard"
0,0,172,158,"standard"
0,0,853,849,"standard"
0,0,38,38,"standard"
0,0,807,432,"standard"
0,0,2,3,"standard"
0,0,3,3,"standard"
0,0,76,76,"standard"
0,0,2,4,"standard"
0,0,683,6,"standard"
0,0,19,20,"standard"
0,0,45,164,"standard"
0,0,2,196,"standard"
74,244,1000,1000,"standard"
0,0,2,2,"standard"
0,0,361,397,"standard"
0,0,4,7,"standard"
0,0,795,780,"standard"
0,0,12,7,"standard"
0,0,14,9,"standard"
0,0,65,66,"standard"
0,0,7,18,"standard"
0,0,29,9,"standard"
0,0,3,17,"standard"
0,0,6,2,"standard"
0,0,10,6,"standard"
0,0,2,6,"standard"
0,0,48,48,"standard"
0,0,269,80,"standard"
0,0,4,23,"standard"
0,0,254,245,"standard"
0,0,62,3,"standard"
0,0,3,21,"standard"
0,0,172,3,"standard"
0,0,2,306,"standard"
0,0,49,46,"standard"
0,0,4,422,"standard"
0,0,32,29,"standard"
0,0,18,58,"standard"
0,0,25,16,"standard"
0,0,21,21,"standard"
0,0,73,68,"standard"
0,0,788,787,"standard"
0,0,35,37,"standard"
0,0,26,33,"standard"
0,0,22,27,"standard"
0,0,233,3,"standard"
0,0,42,39,"standard"
0,0,47,59,"standard"
0,0,24,2,"standard"
0,0,75,14,"standard"
0,0,15,15,"standard"
0,0,430,436,"standard"
0,0,437,180,"standard"
0,0,61,993,"standard"
0,0,6,30,"standard"
0,0,3,408,"standard"
0,0,20,12,"standard"
0,0,88,2,"standard"
0,0,14,14,"standard"
0,0,12,3,"standard"
0,0,125,86,"standard"
0,0,335,361,"standard"
0,0,38,39,"standard"
0,0,792,793,"standard"
0,0,41,8,"standard"
0,0,8,2,"standard"
0,0,32,13,"standard"
0,0,900,906,"standard"
0,0,241,2,"standard"
0,0,2,5,"standard"
0,0,584,586,"standard"
0,0,11,3,"standard"
0,0,25,10,"standard"
0,0,120,111,"standard"
0,0,496,176,"standard"
0,0,6,8,"standard"
0,0,201,201,"standard"
0,0,44,38,"standard"
0,0,100,107,"standard"
0,0,31,9,"standard"
0,0,905,909,"standard"
0,0,3,4,"standard"
0,0,8,70,"standard"
0,0,67,31,"standard"
0,0,105,109,"standard"
