"st1","st2","t_fin1","t_fin2","condition"
0,0,103,103,"standard"
0,0,82,85,"standard"
0,0,23,18,"standard"
0,0,10,7,"standard"
0,0,63,62,"standard"
0,0,18,17,"standard"
0,0,39,39,"standard"
0,0,47,48,"standard"
0,0,18,81,"standard"
0,0,331,335,"standard"
0,0,419,422,"standard"
0,0,13,16,"standard"
0,0,534,536,"standard"
0,0,4,6,"standard"
0,0,58,50,"standard"
0,0,25,20,"standard"
0,0,2,2,"standard"
0,0,14,23,"standard"
0,0,31,34,"standard"
0,0,583,589,"standard"
0,0,18,36,"standard"
0,0,486,481,"standard"
0,0,184,185,"standard"
0,0,9,9,"standard"
0,0,23,29,"standard"
0,0,202,292,"standard"
0,0,84,20,"standard"
0,0,23,21,"standard"
0,0,6,456,"standard"
0,0,58,58,"standard"
0,0,184,178,"standard"
0,0,9,3,"standard"
0,0,347,453,"standard"
0,0,153,153,"standard"
153,497,1000,1000,"standard"
0,0,240,239,"standard"
0,0,17,19,"standard"
0,0,11,8,"standard"
0,0,26,34,"standard"
0,0,309,321,"standard"
0,0,18,16,"standard"
0,0,6,7,"standard"
0,0,155,181,"standard"
0,0,15,10,"standard"
0,0,49,108,"standard"
0,0,83,6,"standard"
0,0,105,13,"standard"
0,0,11,14,"standard"
0,0,64,71,"standard"
0,0,4,13,"standard"
0,0,11,60,"standard"
0,0,4,4,"standard"
0,0,102,170,"standard"
0,0,17,12,"standard"
0,0,57,86,"standard"
0,0,102,101,"standard"
0,0,40,284,"standard"
0,0,7,5,"standard"
0,0,4,69,"standard"
134,77,1000,1000,"standard"
0,0,351,34,"standard"
0,0,13,4,"standard"
0,0,28,18,"standard"
0,0,203,203,"standard"
0,0,26,182,"standard"
0,0,125,145,"standard"
0,0,3,13,"standard"
0,0,31,40,"standard"
285,157,1000,1000,"standard"
0,0,13,15,"standard"
0,0,15,14,"standard"
0,0,190,216,"standard"
0,0,95,98,"standard"
0,0,10,15,"standard"
116,0,1000,795,"standard"
0,0,44,50,"standard"
0,0,20,25,"standard"
0,0,32,31,"standard"
0,0,39,39,"standard"
0,0,161,158,"standard"
0,0,10,9,"standard"
0,164,9,1000,"standard"
0,0,153,308,"standard"
0,0,94,98,"standard"
0,0,140,4,"standard"
0,0,63,58,"standard"
0,0,117,110,"standard"
0,0,14,4,"standard"
0,0,256,252,"standard"
0,0,68,59,"standard"
118,350,1000,1000,"standard"
0,0,42,4,"standard"
0,0,28,30,"standard"
0,0,29,41,"standard"
0,0,3,2,"standard"
0,0,22,30,"standard"
0,0,2,6,"standard"
0,0,10,8,"standard"
0,0,9,33,"standard"
0,0,21,17,"standard"
0,0,48,46,"standard"
0,0,128,105,"standard"
0,0,7,3,"standard"
0,0,541,550,"standard"
0,0,9,11,"standard"
0,0,515,446,"standard"
0,0,11,16,"standard"
0,0,6,12,"standard"
0,0,811,820,"standard"
0,0,518,532,"standard"
0,0,10,2,"standard"
0,0,14,14,"standard"
0,0,37,27,"standard"
